record_type,bar_id,position_percent,end,face,position,A_mm,B_mm,C_mm,D_mm,angle_deg
cross_section,2606005B22-CTB_3,15-25,-,-,-,209.99,105.11,210.03,105.11,-
cross_section,2606005B22-CTB_3,45-55,-,-,-,209.99,105.12,210.02,105.11,-
cross_section,2606005B22-CTB_3,70-80,-,-,-,209.99,105.11,210.02,105.11,-
endface_angle,2606005B22-CTB_3,-,head,A,1,-,-,-,-,89.98
endface_angle,2606005B22-CTB_3,-,head,A,2,-,-,-,-,89.97
endface_angle,2606005B22-CTB_3,-,head,A,3,-,-,-,-,90
endface_angle,2606005B22-CTB_3,-,head,B,1,-,-,-,-,90.03
endface_angle,2606005B22-CTB_3,-,head,B,2,-,-,-,-,90.04
endface_angle,2606005B22-CTB_3,-,head,B,3,-,-,-,-,90.04
endface_angle,2606005B22-CTB_3,-,head,C,1,-,-,-,-,89.94
endface_angle,2606005B22-CTB_3,-,head,C,2,-,-,-,-,89.92
endface_angle,2606005B22-CTB_3,-,head,C,3,-,-,-,-,89.94
endface_angle,2606005B22-CTB_3,-,head,D,1,-,-,-,-,89.9
endface_angle,2606005B22-CTB_3,-,head,D,2,-,-,-,-,89.88
endface_angle,2606005B22-CTB_3,-,head,D,3,-,-,-,-,89.88
endface_angle,2606005B22-CTB_3,-,tail,A,1,-,-,-,-,89.94
endface_angle,2606005B22-CTB_3,-,tail,A,2,-,-,-,-,89.92
endface_angle,2606005B22-CTB_3,-,tail,A,3,-,-,-,-,89.92
endface_angle,2606005B22-CTB_3,-,tail,B,1,-,-,-,-,89.95
endface_angle,2606005B22-CTB_3,-,tail,B,2,-,-,-,-,89.95
endface_angle,2606005B22-CTB_3,-,tail,B,3,-,-,-,-,89.95
endface_angle,2606005B22-CTB_3,-,tail,C,1,-,-,-,-,89.99
endface_angle,2606005B22-CTB_3,-,tail,C,2,-,-,-,-,89.87
endface_angle,2606005B22-CTB_3,-,tail,C,3,-,-,-,-,89.97
endface_angle,2606005B22-CTB_3,-,tail,D,1,-,-,-,-,90
endface_angle,2606005B22-CTB_3,-,tail,D,2,-,-,-,-,90
endface_angle,2606005B22-CTB_3,-,tail,D,3,-,-,-,-,89.99
