record,row,y_mm,valid,A_mm,B_mm,C_mm,D_mm,diag1_M1_M2_mm,diag2_M3_M4_mm,stick_length_mm,P1_x,P1_z,P2_x,P2_z,P3_x,P3_z,P4_x,P4_z,M1_x,M1_z,M2_x,M2_z,M3_x,M3_z,M4_x,M4_z,obj1_angle_deg,obj2_angle_deg,obj3_angle_deg,obj4_angle_deg,obj1_verticality_error_deg,obj2_verticality_error_deg,obj3_verticality_error_deg,obj4_verticality_error_deg,obj1_chamfer_mm,obj2_chamfer_mm,obj3_chamfer_mm,obj4_chamfer_mm,obj1_projection_x_mm,obj1_projection_z_mm,obj2_projection_x_mm,obj2_projection_z_mm,obj3_projection_x_mm,obj3_projection_z_mm,obj4_projection_x_mm,obj4_projection_z_mm,note
slice,2194,41.337348,True,210.565967,104.01477,209.411472,106.338166,232.325336,233.531866,826.893719,210.011804,103.525416,0.566908,-1.134708,-0.547523,105.197618,209.977385,-0.489348,209.300133,102.89084,1.20156,-0.405073,0.258956,104.385546,209.25852,0.191907,89.943326,89.91284,89.998541,89.971543,0.056674,0.08716,0.001459,0.028457,1.80001,1.815951,1.890193,1.83004,1.8,0.005943,1.815,0.058763,1.89,0.026994,1.83,0.012062,
slice,2398,51.317015,True,210.545109,104.00359,209.443667,106.329702,232.34943,233.50672,826.893719,210.016777,103.542376,0.53903,-1.13427,-0.521883,105.190139,209.981615,-0.461208,209.303117,102.893866,1.179841,-0.406471,0.286917,104.389199,209.267795,0.214439,89.93995,89.89708,89.957701,89.944739,0.06005,0.10292,0.042299,0.055261,1.830114,1.815784,1.905104,1.815045,1.83,0.020454,1.815,0.053342,1.905,0.019878,1.815,0.012802,
slice,2602,61.296683,True,210.506661,104.000956,209.47135,106.333628,232.392021,233.473773,826.893719,210.011768,103.567996,0.509373,-1.142664,-0.488672,105.186279,209.97952,-0.432955,209.302494,102.925282,1.147939,-0.407834,0.306657,104.379817,209.270099,0.243932,89.955248,89.906336,89.987489,89.996316,0.044752,0.093664,0.012511,0.003684,1.815092,1.800622,1.890206,1.800007,1.815,0.018249,1.8,0.047313,1.89,0.027923,1.8,0.004996,
slice,2806,71.27635,True,210.476436,103.988698,209.505956,106.333332,232.412032,233.444205,826.893719,210.010434,103.585105,0.483032,-1.147029,-0.459943,105.182122,209.987669,-0.40359,209.306419,102.929263,1.133675,-0.412217,0.334094,104.384002,209.275547,0.270284,89.931592,89.897544,89.978219,89.956479,0.068408,0.102456,0.021781,0.043521,1.815185,1.815839,1.875129,1.815013,1.815,0.025881,1.815,0.055182,1.875,0.021974,1.815,0.006932,
slice,3010,81.256018,True,210.445258,103.99328,209.524147,106.345161,232.438307,233.407672,826.893719,210.005609,103.610559,0.460155,-1.155739,-0.433754,105.185664,209.982876,-0.382718,209.29081,102.966845,1.109438,-0.416337,0.361092,104.388634,209.268303,0.288112,89.978622,89.903109,89.95316,89.989533,0.021378,0.096891,0.04684,0.010467,1.830026,1.815826,1.89015,1.800001,1.83,0.009672,1.815,0.054757,1.89,0.023807,1.8,0.001471,
slice,3214,91.235685,True,210.424725,103.98348,209.555906,106.336595,232.475788,233.392736,826.893719,210.011777,103.624623,0.434353,-1.156656,-0.407225,105.176609,209.988741,-0.358854,209.309319,102.974936,1.089729,-0.41556,0.377405,104.382738,209.28412,0.314713,89.959708,89.906488,89.986155,89.965857,0.040292,0.093512,0.013845,0.034143,1.815045,1.815891,1.875213,1.8,1.815,0.012768,1.815,0.056887,1.875,0.028288,1.8,0.000462,
slice,3418,101.215353,True,210.39666,103.984279,209.580691,106.347115,232.493222,233.362495,826.893719,210.006668,103.646628,0.412382,-1.161913,-0.384388,105.182217,209.991452,-0.337651,209.297403,103.00558,1.075646,-0.419746,0.407085,104.39534,209.284236,0.335791,89.975542,89.891068,89.971927,89.983366,0.024458,0.108932,0.028073,0.016634,1.815027,1.830802,1.875054,1.800005,1.815,0.009988,1.83,0.054191,1.875,0.01423,1.8,0.004207,
slice,3622,111.19502,True,210.381877,103.98085,209.601303,106.332363,232.520496,233.339582,826.893719,210.011565,103.65956,0.390901,-1.15873,-0.364883,105.170948,209.990531,-0.321288,209.304963,103.013248,1.056092,-0.418801,0.412301,104.379336,209.279473,0.351143,89.948865,89.89263,89.991893,89.958216,0.051135,0.10737,0.008107,0.041784,1.815078,1.830723,1.860167,1.815001,1.815,0.016837,1.83,0.05143,1.86,0.024962,1.815,0.002233,
slice,3826,121.174687,True,210.35465,103.980795,209.627806,106.343726,232.541417,233.320639,826.893719,210.007826,103.680186,0.370549,-1.165434,-0.341506,105.175908,209.996571,-0.300608,209.300869,103.030461,1.036655,-0.417729,0.436415,104.386902,209.289504,0.372921,89.964563,89.904083,89.988663,89.988792,0.035437,0.095917,0.011337,0.011208,1.815094,1.830923,1.875214,1.800005,1.815,0.018436,1.83,0.05813,1.875,0.02832,1.8,0.004282,
slice,4030,131.154355,True,210.339509,103.975104,209.645688,106.340442,232.565852,233.292929,826.893719,210.012532,103.691486,0.349945,-1.163454,-0.321746,105.174866,209.993787,-0.283617,209.304954,103.045286,1.022786,-0.421684,0.45605,104.388325,209.284994,0.388021,89.9317,89.895475,89.959235,89.973419,0.0683,0.104525,0.040765,0.026581,1.800024,1.81588,1.875138,1.815002,1.8,0.00933,1.815,0.056537,1.875,0.02278,1.815,0.002351,
slice,4234,141.134022,True,210.313564,103.974577,209.670483,106.345334,232.586879,233.267689,826.893719,210.013416,103.70973,0.328192,-1.168543,-0.295044,105.174964,209.996727,-0.264845,209.307758,103.048131,1.003117,-0.420863,0.471243,104.383569,209.281414,0.402191,89.945338,89.90191,89.998988,89.999394,0.054662,0.09809,0.001012,0.000606,1.830335,1.815836,1.860288,1.800011,1.83,0.035,1.815,0.055081,1.86,0.032743,1.8,0.006428,
slice,4438,151.11369,True,210.302011,103.970409,209.699193,106.339092,232.622332,233.256115,826.893719,210.018653,103.724473,0.304833,-1.164309,-0.278368,105.173183,210.002016,-0.245935,209.315633,103.077484,0.984835,-0.418543,0.483461,104.381839,209.292089,0.423327,89.942839,89.892492,89.955063,89.965659,0.057161,0.107508,0.044937,0.034341,1.800034,1.815696,1.875219,1.815006,1.8,0.011031,1.815,0.050267,1.875,0.028627,1.815,0.004545,
slice,4642,161.093357,True,210.2821,103.972162,209.722308,106.335465,232.642977,233.225456,826.893719,210.02337,103.746191,0.28561,-1.165598,-0.253919,105.168499,210.005813,-0.225969,209.31135,103.094505,0.965414,-0.417454,0.510868,104.386055,209.289641,0.436367,89.980652,89.899992,89.999891,89.997131,0.019348,0.100008,0.000109,0.002869,1.830016,1.815815,1.860087,1.8,1.83,0.007653,1.815,0.054404,1.86,0.017964,1.8,0.000386,
slice,4846,171.073025,True,210.271278,103.967282,209.752288,106.326836,232.675197,233.207572,826.893719,210.031084,103.76071,0.263575,-1.161322,-0.235509,105.164343,210.01369,-0.206571,209.324169,103.107507,0.947412,-0.414831,0.528036,104.379289,209.304111,0.464312,89.954672,89.908064,89.979252,89.964793,0.045328,0.091936,0.020748,0.035207,1.800081,1.815758,1.875237,1.800008,1.8,0.017082,1.815,0.052471,1.875,0.029833,1.8,0.005459,
slice,5050,181.052692,True,210.246696,103.973936,209.772721,106.327574,232.691359,233.186581,826.893719,210.026854,103.784221,0.244415,-1.159753,-0.215297,105.166827,210.014893,-0.189714,209.315631,103.130895,0.930537,-0.410987,0.544146,104.384299,209.301066,0.477949,89.958042,89.901105,89.954276,89.978041,0.041958,0.098895,0.045724,0.021959,1.815036,1.815727,1.875229,1.815004,1.815,0.011462,1.815,0.051362,1.875,0.029331,1.815,0.00364,
slice,5254,191.032359,True,210.236834,103.969949,209.792296,106.311846,232.725856,233.159919,826.893719,210.036973,103.795811,0.222111,-1.154793,-0.19546,105.156233,210.012115,-0.174135,209.332787,103.148296,0.915124,-0.405564,0.561499,104.377346,209.298598,0.49101,89.951812,89.89687,89.990258,89.974226,0.048188,0.10313,0.009742,0.025774,1.785023,1.815778,1.860065,1.800005,1.785,0.009026,1.815,0.05315,1.86,0.015589,1.8,0.004243,
slice,5458,201.012027,True,210.215104,103.972544,209.81427,106.315277,232.742339,233.13422,826.893719,210.037707,103.818951,0.204315,-1.153971,-0.173115,105.160636,210.0162,-0.153591,209.327644,103.164445,0.897885,-0.402114,0.581739,104.378153,209.299722,0.511082,89.974333,89.907174,89.990851,89.98963,0.025667,0.092826,0.009149,0.01037,1.815063,1.815856,1.860235,1.800013,1.815,0.015107,1.815,0.055756,1.86,0.029568,1.8,0.00679,
slice,5662,210.991694,True,210.202117,103.96998,209.84233,106.298173,232.7726,233.125331,826.893719,210.043246,103.835175,0.181111,-1.147143,-0.154756,105.1505,210.020999,-0.134803,209.344361,103.170718,0.881666,-0.397562,0.588281,104.371499,209.306717,0.525294,89.936824,89.89013,89.988725,89.977917,0.063176,0.10987,0.011275,0.022083,1.800265,1.815643,1.860182,1.80001,1.8,0.030903,1.815,0.048317,1.86,0.026046,1.8,0.006099,
slice,5866,220.971362,True,210.178315,103.974309,209.862333,106.298274,232.800861,233.095542,826.893719,210.043651,103.858651,0.160325,-1.147293,-0.130694,105.150582,210.020122,-0.115655,209.33912,103.208133,0.862683,-0.395999,0.612032,104.368735,209.30832,0.544888,89.955232,89.915555,89.991425,89.998659,0.044768,0.084445,0.008575,0.001341,1.80001,1.81563,1.860159,1.80001,1.8,0.005883,1.815,0.047834,1.86,0.024307,1.8,0.005862,
slice,6070,230.951029,True,210.163371,103.972693,209.886153,106.290067,232.823871,233.06532,826.893719,210.049179,103.87913,0.136065,-1.145703,-0.110385,105.144078,210.019581,-0.09356,209.337463,103.227817,0.840543,-0.386803,0.630316,104.360834,209.307654,0.566748,89.953439,89.888462,89.979116,89.983271,0.046561,0.111538,0.020884,0.016729,1.80003,1.830814,1.875251,1.8,1.8,0.010352,1.83,0.054593,1.875,0.030711,1.8,0.000806,
